,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
0,x8,x5,x4,x36,x10,x11,x13,x15,x23,x24,x29,x30,x32,x34,x41,x42,x43,x46,x48,x49,x51,x53,x60,x61,x62,x67,x68,x70,x72,x79,x80,x81,x86,x87,x89,x98,x99,x100,x33,x63,x82,x39,x96,x52,x19,x21,x25,x27,x38,x40,x44,x57,x58,x59,x65,x76,x77,x78,x84,x91,x95,x97,x101,x103,x71,x14,x17,x20,x90,x22,x93,x55,x74,x12,x26,x83,x45,x102,x64,x50,x31,x92,x88,x73,x85,x69,x47,x35
1,1200.0,190.0,598.5,9342.45,56.2,61.52,320957.3,64.5,67.81,63.25,55.5,60.78,297210.1,61.5,8018.0,65.0,60.53,610502.7,54.2,59.4,280451.7,58.1,8001.0,63.69,58.55,52.4,57.65,262789.0,54.2,8013.0,62.78,56.45,51.3,56.13,249110.7,8002.0,60.74,54.26,3663.5,3347.72,3387.72,861.8,815.5,3755.8,797.3,1755.0,3758.77,628132.9,757.8,1755.0,3538.71,795.0,818.5,1755.0,589389.6,746.8,815.5,1755.0,606524.2,52.8,733.8,1755.0,2978.26,601988.1,2931.4,3485.8,12456.6,809.8,2562.3,8003.0,10445.6,6228.3,3114.15,6.11,42587.0,10646.75,31940.25,41407.0,21293.5,5.41,3.94,217.0,5.97,59.88,7196.0,5.4,6788.0,179.63
2,2900.0,400.0,3040.0,13188.23,106.0,103.03,685697.5,105.5,105.52,105.32,103.0,101.84,625829.2,100.4,8799.0,101.0,101.89,1067772.0,98.2,98.64,602224.7,97.2,8735.0,98.12,98.45,92.8,96.49,552124.4,96.9,8585.0,95.35,94.34,86.2,83.21,526596.4,8393.0,90.95,89.79,4386.9,13596.37,12063.5,1584.3,1316.3,3819.0,1408.4,8842.18,12113.01,1188995.8,1424.1,8776.71,13571.8,1298.8,1389.6,8699.73,973523.7,1294.2,1288.0,8555.54,954628.6,94.1,1143.8,8364.78,11379.37,929027.1,3896.7,3526.1,17584.3,1473.5,2790.6,8864.0,14488.6,8792.15,4396.08,3.15,45966.0,11491.5,34474.5,44835.0,22983.0,2.76,2.65,334.8,3.25,52.2,3678.0,3.05,3561.0,156.6
3,630.0,100.0,480.0,4866.83,41.0,41.25,160401.5,34.4,45.91,38.34,40.3,40.84,150266.8,34.1,6714.0,43.4,36.45,466212.2,39.3,40.21,143737.7,33.5,5827.0,41.79,34.76,38.0,39.43,134548.4,33.7,5565.0,41.03,33.37,36.2,37.64,134312.5,4930.0,38.7,32.04,1149.5,1527.55,1601.79,680.29,765.8,1284.5,614.0,1755.0,1537.96,524764.8,573.7265312999999,1755.0,1535.16,554.0819663,663.97,1755.0,409677.9,574.6,680.5,1755.0,403875.0,31.43,589.5,1755.0,1653.06,377828.6,1191.1,1217.5,6489.1,608.2,1529.0,7773.0,3994.7,3244.55,1622.28,1.74,39066.0,9766.5,29299.5,37933.0,19533.0,1.52,1.15,175.7,1.55,71.45,2693.0,0.92,2628.0,214.35
4,140.0,20.0,13.7,610.4,12.1,10.03,38193.64,13.6,11.62,10.06,11.6,8.5,35859.4,12.67,1582.0,10.86,9.79,129102.4,11.4,6.97,32793.7,11.73,1507.0,10.17,9.35,10.6,5.44,30012.46,10.79,1450.0,9.91,8.85,10.0,3.91,27231.21,1456.0,9.73,8.34,322.5,508.64,590.64,208.6,152.25,388.9,183.6,1612.95,392.96,141542.6,165.1,1504.36,435.1,167.9,209.6,1450.47,123618.0,180.3715071,158.45,1439.0,121857.2,9.85,197.6795574,1442.31,686.16,122031.7,345.3,287.2,154.4,211.1,316.5,1649.0,152.6,457.8,305.2,1.24,8435.75,16388.0,32776.0,8194.0,24582.0,2.25,1.99,14.15,3.0,28.3,1381.0,2.58,2649.0,56.6
5,5000.0,410.0,1230.0,52083.6,203.8,162.84,1640293.0,229.3,158.63,169.5,190.3,154.36,1523166.6,210.7,9396.0,148.76,159.0,1908975.7,177.6,147.44,1451175.9,188.9,9347.0,140.9,146.2,160.0,141.34,1341072.8,173.8,9306.0,136.56,138.8,149.1,134.8,1284199.4,9286.0,136.6,140.2,12930.0,10149.0,9291.0,3000.0,2244.1,8146.1,2738.8,9248.4,10082.0,2318397.0,2595.2,9329.64,9700.0,2284.4,2627.5,9297.06,1681849.3,2451.2,2526.4,9254.28,1732937.5,147.6,2220.6,9231.76,9821.0,1734973.5,8245.0,10855.3,69444.8,3148.0,6622.5,9380.0,73143.5,34722.4,17361.2,6.46,49572.0,12393.0,37179.0,48260.0,24786.0,6.88,5.33,432.4,4.09,98.33,5606.0,4.72,5909.0,294.98
6,4800.0,420.0,1050.0,52083.6,203.8,162.84,1640293.0,229.3,158.63,169.5,190.3,154.36,1523166.6,210.7,9396.0,148.76,159.0,1908975.7,177.6,147.44,1451175.9,188.9,9347.0,140.9,146.2,160.0,141.34,1341072.8,173.8,9306.0,136.56,138.8,149.1,134.8,1284199.4,9286.0,136.6,140.2,12930.0,10149.0,9291.0,3000.0,2244.1,8146.1,2738.8,9248.4,10082.0,2318397.0,2595.2,9329.64,9700.0,2284.4,2627.5,9297.06,1681849.3,2451.2,2526.4,9254.28,1732937.5,147.6,2220.6,9231.76,9821.0,1734973.5,8245.0,10855.3,69444.8,3148.0,6622.5,9380.0,73143.5,34722.4,17361.2,6.46,49572.0,12393.0,37179.0,48260.0,24786.0,6.88,5.33,432.4,4.09,98.33,5606.0,4.72,5909.0,294.98
7,5700.0,640.0,1158.4,69444.8,224.7,198.55,1622664.0,306.7,171.13,178.3,203.8,162.84,1640293.0,229.3,9380.0,158.63,169.5,2318397.0,190.3,154.36,1523166.6,210.7,9396.0,148.76,159.0,177.6,147.44,1451175.9,188.9,9347.0,140.9,146.2,160.0,141.34,1341072.8,9306.0,136.56,138.8,10855.3,9700.0,10149.0,3148.0,2526.4,12930.0,2871.3,9132.66,11568.0,2435004.3,2738.8,9248.4,10082.0,2595.2,3000.0,9329.64,1908975.7,2284.4,2627.5,9297.06,1681849.3,173.8,2451.2,9254.28,9291.0,1732937.5,8146.1,15001.6,16471.38,3662.6,8245.0,9260.0,17361.2,52083.6,34722.4,6.73,12732.0,24786.0,49572.0,12393.0,37179.0,5.33,6.46,98.33,4.72,196.65,7045.0,6.88,6370.0,393.3
8,5300.0,500.0,575.0,49414.13,259.5,204.02,1901366.0,276.1,191.63,212.1,255.8,216.48,1704943.8,292.4,10099.3,190.5,204.8,2310101.4,245.1,225.0,1670609.2,300.5,9489.1,179.96,189.5,224.7,198.55,1622664.0,306.7,9260.0,171.13,178.3,203.8,162.84,1640293.0,9380.0,158.63,169.5,18468.3,11763.0,11568.0,3676.1,3148.0,18690.9,3499.4,9784.77,7966.5,2217708.7,3447.8,9967.33,8857.0,3355.8,3686.3,9403.58,2303248.1,2871.3,3662.6,9132.66,2435004.3,229.3,2738.8,9248.4,10082.0,2318397.0,15001.6,16139.0,65885.5,3823.6,10855.3,9867.6,69444.8,32942.75,16471.38,3.44,50928.0,12732.0,38196.0,49572.0,25464.0,6.54,3.8,393.3,6.46,83.53,6790.0,6.73,4242.0,250.58
9,690.0,90.0,189.9,998.68,34.6,37.16,120470.6,29.55,35.67,28.87,33.4,36.56,115107.4,28.61,4758.0,34.98,27.13,408321.5,31.4,33.0,116552.6,27.68,4695.0,32.83,25.62,30.9,31.47,98042.9,26.74,4630.0,31.3,23.87,29.5,29.93,92354.2,4252.0,30.13,21.54,2211.5,1936.75,1991.43,582.9,550.4,1430.8,481.1,1755.0,1645.98,390388.5,229.2,1755.0,1859.5,763.2,582.8,1755.0,415431.1,412.0,768.0,1755.0,413834.5,25.8,431.1,1755.0,2134.49,402158.1,1571.1,1861.2,1997.35,667.8,1668.9,4730.0,1441.4,2882.8,2162.1,2.28,18966.5,27613.5,9483.25,18409.0,36818.0,2.69,2.32,73.95,3.56,110.93,3302.0,2.68,3321.0,43.93
